t,x,v,F_imp,F_env,Ks,Ds,K_est,iq_ideal,iq_cmd,iq_actual,tau_motor,tau_env
0.0,0.0029985000296749074,-0.1499970325092517,-1.5441581942427671,0.0,300.0,17.146428199482244,100.0,-0.8578656634682038,0.0,0.08243029856408025,0.02225618061230167,0.0
0.01,0.00299700006695098,-0.1499962723927492,-1.3029774655510087,0.0,300.0,17.146428199482244,100.0,-0.7238763697505604,0.0,0.021114347291529084,0.005700873768712853,0.0
0.02,0.0029955000880352253,-0.1499978915754605,-1.1023571438078767,0.0,300.0,17.146428199482244,100.0,-0.6124206354488203,0.0,-0.04497729753570257,-0.012143870334639695,0.0
0.030000000000000006,0.0029940000925800354,-0.14999954551897104,-0.8865663767649495,0.0,300.0,17.146428199482244,100.0,-0.4925368759805275,0.0,-0.0459428752924097,-0.01240457632895062,0.0
0.04,0.0029925000968789523,-0.14999957010830353,-0.7162878399629986,0.0,300.0,17.146428199482244,100.0,-0.39793768886833253,0.0,-0.0006830370133529048,-0.0001844199936052843,0.0
0.05,0.002991000120240776,-0.14999766381765056,-0.5807910928559838,0.0,300.0,17.146428199482244,100.0,-0.32266171825332435,0.0,0.05295251813786543,0.014297179897223667,0.0
0.06000000000000001,0.002989500149793512,-0.14999704472636397,-0.4327705028073605,0.0,300.0,17.146428199482244,100.0,-0.24042805711520024,0.0,0.01719698018345667,0.004643184649533301,0.0
0.07,0.00298800017149925,-0.14999782942621753,-0.3057503965252415,0.0,300.0,17.146428199482244,100.0,-0.16986133140291193,0.0,-0.021797218154910657,-0.005885248901825878,0.0
0.08,0.0029865001742947505,-0.1499997204499315,-0.18303478411702923,0.0,300.0,17.146428199482244,100.0,-0.10168599117612734,0.0,-0.052528436499710195,-0.014182677854921753,0.0
0.09000000000000001,0.0029850001826373517,-0.1499991657398866,-0.05478160818097977,0.0,300.0,17.146428199482244,100.0,-0.030434226767210977,0.0,0.015408612358691245,0.004160325336846637,0.0
0.1,0.0029835002140879796,-0.149996854937217,0.021679513426839714,0.0,300.0,17.146428199482244,100.0,0.012044174126022062,0.0,0.06418896304410711,0.01733102002190892,0.0
0.11,0.0029820002541826474,-0.14999599053321558,0.12601889887953943,0.0,300.0,17.146428199482244,100.0,0.07001049937752189,0.0,0.02401122226218911,0.00648303001079106,0.0
0.12000000000000002,0.002980500278375819,-0.14999758068283653,0.20922421955933324,0.0,300.0,17.146428199482244,100.0,0.1162356775329629,0.0,-0.044170822804163255,-0.01192612215712408,0.0
0.13,0.002979000291406399,-0.14999869694199364,0.2633923323363452,0.0,300.0,17.146428199482244,100.0,0.14632907352019175,0.0,-0.03100719880883787,-0.008371943678386225,0.0
0.14,0.0029775003127873413,-0.14999786190574788,0.3223090712784702,0.0,300.0,17.146428199482244,100.0,0.17906059515470565,0.0,0.02319545127122366,0.006262771843230389,0.0
0.15000000000000002,0.00297600035405394,-0.14999587334013254,0.36946338273346635,0.0,300.0,17.146428199482244,100.0,0.2052574348519257,0.0,0.05523793375919316,0.014914242114982155,0.0
0.16,0.0029745004037716573,-0.1499950282282893,0.37824832789647567,0.0,300.0,17.146428199482244,100.0,0.21013795994248644,0.0,0.02347532897892019,0.006338338824308452,0.0
0.17,0.0029730004445111063,-0.14999592605512538,0.4326151464151704,0.0,300.0,17.146428199482244,100.0,0.24034174800842795,0.0,-0.0249396343353404,-0.006733701270541908,0.0
0.18000000000000002,0.002971500473694204,-0.1499970816902238,0.44363973343078045,0.0,300.0,17.146428199482244,100.0,0.24646651857265575,0.0,-0.03210097495624774,-0.00866726323818689,0.0
0.19,0.0029700005005604533,-0.14999731337503305,0.48195938642087177,0.0,300.0,17.146428199482244,100.0,0.2677552146782621,0.0,-0.006435689146008859,-0.0017376360694223922,0.0
0.2,0.00296850054975293,-0.14999508075231163,0.5083721437009379,0.0,300.0,17.146428199482244,100.0,0.2824289687227432,0.0,0.06201729781726352,0.01674467041066115,0.0
0.21000000000000002,0.002967000604967311,-0.14999447856191214,0.5492571456959952,0.0,300.0,17.146428199482244,100.0,0.30514285871999725,0.0,0.016727511096596797,0.004516427996081136,0.0
0.22,0.002965500649153614,-0.14999558136971555,0.5626285202872672,0.0,300.0,17.146428199482244,100.0,0.31257140015959284,0.0,-0.030633550094671197,-0.008271058525561224,0.0
0.23,0.002964000673556063,-0.14999755975509688,0.5923022357721521,0.0,300.0,17.146428199482244,100.0,0.3290567976511956,0.0,-0.05495514948132104,-0.014837890359956682,0.0
0.24000000000000005,0.0029625007019523984,-0.1499971603664649,0.60031329830124,0.0,300.0,17.146428199482244,100.0,0.3335073879451333,0.0,0.011094128666248721,0.002995414739887155,0.0
0.25,0.0029610007516525354,-0.14999502998628184,0.6388301510403238,0.0,300.0,17.146428199482244,100.0,0.35490563946684656,0.0,0.059177227307783804,0.015977851373101627,0.0
0.26,0.002959500806819553,-0.14999448329826923,0.6384378624849196,0.0,300.0,17.146428199482244,100.0,0.35468770138051087,0.0,0.015185778128318103,0.004100160094645888,0.0
0.27,0.0029580008473759204,-0.14999594436326438,0.6516571760212306,0.0,300.0,17.146428199482244,100.0,0.3620317644562392,0.0,-0.04058513875449226,-0.01095798746371291,0.0
0.28,0.002956500874502658,-0.14999728732622114,0.6243968256145862,0.0,300.0,17.146428199482244,100.0,0.34688712534143673,0.0,-0.03730452657666373,-0.010072222175699207,0.0
0.29,0.0029550009091747547,-0.14999653279032937,0.6615644274696912,0.0,300.0,17.146428199482244,100.0,0.36753579303871736,0.0,0.020959330326867694,0.005659019188254278,0.0
0.30000000000000004,0.0029535009629921877,-0.14999461825671198,0.6837791287028947,0.0,300.0,17.146428199482244,100.0,0.37987729372383033,0.0,0.05318148937207695,0.014359002130460779,0.0
0.31,0.0029520010196093485,-0.14999433828389463,0.6577679149638149,0.0,300.0,17.146428199482244,100.0,0.3654266194243416,0.0,0.007777022703972233,0.002099796130072503,0.0
0.32,0.0029505010619581364,-0.1499957651212237,0.6828695020623696,0.0,300.0,17.146428199482244,100.0,0.3793719455902053,0.0,-0.03963437025193982,-0.010701279968023752,0.0
0.33000000000000007,0.002949001095371488,-0.14999665866483788,0.6941811762105456,0.0,300.0,17.146428199482244,100.0,0.3856562090058587,0.0,-0.024820655949824216,-0.006701577106452539,0.0
0.34,0.0029475011291921283,-0.1499966179359918,0.7081147647909383,0.0,300.0,17.146428199482244,100.0,0.3933970915505212,0.0,0.001131356835660638,0.0003054663456283723,0.0
0.35000000000000003,0.00294600118786945,-0.14999413226780273,0.6870681306493962,0.0,300.0,17.146428199482244,100.0,0.3817045170274423,0.0,0.0690463385853228,0.018642511418037157,0.0
0.36000000000000004,0.0029445012466315285,-0.14999412379218344,0.6837533918989203,0.0,300.0,17.146428199482244,100.0,0.3798629954994001,0.0,0.0002354338691571891,6.356714467244106e-05,0.0
0.37000000000000005,0.0029430012921256203,-0.14999545059082803,0.6873817675821243,0.0,300.0,17.146428199482244,100.0,0.3818787597678468,0.0,-0.036855517905030576,-0.009950989834358256,0.0
0.38,0.002941501320532847,-0.1499971592773385,0.7025881317945173,0.0,300.0,17.146428199482244,100.0,0.3903267398858429,0.0,-0.04746351418026353,-0.012815148828671154,0.0
0.39000000000000007,0.0029400013561420666,-0.1499964390780394,0.6849728056354423,0.0,300.0,17.146428199482244,100.0,0.3805404475752457,0.0,0.020005536086338486,0.005401494743311391,0.0
0.4,0.00293850141298883,-0.149994315323674,0.7022791928880527,0.0,300.0,17.146428199482244,100.0,0.39015510716002927,0.0,0.05899317681648289,0.01592815774045038,0.0
