t,x,v,F_imp,F_env,Ks,Ds,K_est,iq_ideal,iq_cmd,iq_actual,tau_motor,tau_env
0.0,0.002998500026278503,-0.14999737214968015,-1.5502737115018999,0.0,300.0,17.146428199482244,100.0,-0.8612631730566109,0.0,0.07299584221763739,0.019708877398762096,0.0
0.01,0.0029970000630064617,-0.14999632720413403,-1.2928609542582579,0.0,300.0,17.146428199482244,100.0,-0.7182560856990321,0.0,0.02902626516962814,0.007837091595799598,0.0
0.02,0.002995500086832374,-0.14999761740877723,-1.1313655035551364,0.0,300.0,17.146428199482244,100.0,-0.6285363908639646,0.0,-0.035839017866489756,-0.009676534823952235,0.0
0.030000000000000006,0.002994000095885636,-0.14999909467382058,-0.9197217101568728,0.0,300.0,17.146428199482244,100.0,-0.510956505642707,0.0,-0.041035140092729794,-0.011079487825037045,0.0
0.04,0.0029925001163327797,-0.1499979552856195,-0.717873479423752,0.0,300.0,17.146428199482244,100.0,-0.39881859967986216,0.0,0.03164967225266232,0.008545411508218826,0.0
0.05,0.00299100015976117,-0.14999565716095334,-0.5974177141653028,0.0,300.0,17.146428199482244,100.0,-0.33189873009183485,0.0,0.06383679628170479,0.017235934996060295,0.0
0.06000000000000001,0.002989500204811652,-0.14999549495182424,-0.46144312560662515,0.0,300.0,17.146428199482244,100.0,-0.25635729200368057,0.0,0.004505809141607097,0.0012165684682339164,0.0
0.07,0.0029880002396162034,-0.14999651954485227,-0.3353630209486276,0.0,300.0,17.146428199482244,100.0,-0.18631278941590418,0.0,-0.028460917445701416,-0.007684447710339382,0.0
0.08,0.0029865002593938107,-0.14999802223927478,-0.22258901671166953,0.0,300.0,17.146428199482244,100.0,-0.1236605648398164,0.0,-0.041741511736018165,-0.011270208168724906,0.0
0.09000000000000001,0.0029850002785298787,-0.14999808639318454,-0.14041254713918305,0.0,300.0,17.146428199482244,100.0,-0.07800697063287947,0.0,-0.0017820530492585317,-0.0004811543232998036,0.0
0.1,0.002983500317948517,-0.14999605813616862,-0.038447802920465346,0.0,300.0,17.146428199482244,100.0,-0.021359890511369637,0.0,0.056340472664214644,0.015211927619337954,0.0
0.11,0.002982000359260471,-0.14999586880460405,0.030976036681148678,0.0,300.0,17.146428199482244,100.0,0.01720890926730482,0.0,0.005259210126940181,0.001419986734273849,0.0
0.12000000000000002,0.0029805003847554927,-0.14999745049783209,0.12213120094807639,0.0,300.0,17.146428199482244,100.0,0.06785066719337578,0.0,-0.04393592300069356,-0.01186269921018726,0.0
0.13,0.0029790003988888203,-0.14999858666725044,0.22864690852379033,0.0,300.0,17.146428199482244,100.0,0.1270260602909946,0.0,-0.03156026162087407,-0.008521270637635999,0.0
0.14,0.002977500410197623,-0.14999886911972563,0.2493111398214909,0.0,300.0,17.146428199482244,100.0,0.13850618878971716,0.0,-0.007845902088269237,-0.002118393563832694,0.0
0.15000000000000002,0.0029760004477159185,-0.14999624817045804,0.3136821271418353,0.0,300.0,17.146428199482244,100.0,0.1742678484121307,0.0,0.07280414632208693,0.019657119506963472,0.0
0.16,0.0029745004918286435,-0.14999558872749172,0.4066716356197093,0.0,300.0,17.146428199482244,100.0,0.22592868645539405,0.0,0.018317860175108933,0.004945822247279412,0.0
0.17,0.002973000523875259,-0.1499967953384506,0.44674568723545827,0.0,300.0,17.146428199482244,100.0,0.24819204846414344,0.0,-0.03351697107939533,-0.00904958219143674,0.0
0.18000000000000002,0.002971500544422876,-0.14999794523832669,0.500947034551535,0.0,300.0,17.146428199482244,100.0,0.2783039080841861,0.0,-0.03194166322475554,-0.008624249070683997,0.0
0.19,0.002970000569226812,-0.1499975196064056,0.5255260167555744,0.0,300.0,17.146428199482244,100.0,0.2919588981975413,0.0,0.01182310891974946,0.0031922394083323544,0.0
0.2,0.0029685006225167163,-0.14999467100956498,0.5683306332359426,0.0,300.0,17.146428199482244,100.0,0.3157392406866347,0.0,0.07912769001647096,0.021364476304447162,0.0
0.21000000000000002,0.0029670006801514586,-0.14999423652575306,0.5889306534541512,0.0,300.0,17.146428199482244,100.0,0.3271836963634173,0.0,0.01206899477609773,0.0032586285895463874,0.0
0.22,0.0029655007204175588,-0.14999597338997198,0.605069934552048,0.0,300.0,17.146428199482244,100.0,0.33614996364002664,0.0,-0.048246228303711926,-0.01302648164200222,0.0
0.23,0.0029640007499864745,-0.14999704310841586,0.6169723126737183,0.0,300.0,17.146428199482244,100.0,0.3427623959298435,0.0,-0.029714401219081667,-0.00802288832915205,0.0
0.24000000000000005,0.002962500786948354,-0.14999630381204815,0.6007909144445547,0.0,300.0,17.146428199482244,100.0,0.3337727302469748,0.0,0.020536010214014987,0.005544722757784047,0.0
0.25,0.002961000851095145,-0.14999358532091653,0.6407698452387423,0.0,300.0,17.146428199482244,100.0,0.35598324735485676,0.0,0.0755136425447599,0.020388683487085172,0.0
0.26,0.0029595009219312435,-0.14999291639015985,0.6555564135107299,0.0,300.0,17.146428199482244,100.0,0.36419800750596104,0.0,0.01858140990760694,0.005016980675053875,0.0
0.27,0.002958000978817229,-0.1499943114014541,0.6635539529349781,0.0,300.0,17.146428199482244,100.0,0.3686410849638767,0.0,-0.038750313729512494,-0.010462584706968373,0.0
0.28,0.0029565010204208046,-0.1499958396424056,0.7102302965420457,0.0,300.0,17.146428199482244,100.0,0.3945723869678031,0.0,-0.04245113754092775,-0.011461807136050493,0.0
0.29,0.002955001062121227,-0.14999582995775643,0.7280565380624553,0.0,300.0,17.146428199482244,100.0,0.4044758544791418,0.0,0.0002690180324501669,7.263486876154507e-05,0.0
0.30000000000000004,0.002953501130839021,-0.14999312822062374,0.7466371682310671,0.0,300.0,17.146428199482244,100.0,0.4147984267950372,0.0,0.07504825368548469,0.020263028495080868,0.0
0.31,0.0029520012045449353,-0.14999262940855942,0.7129940990062373,0.0,300.0,17.146428199482244,100.0,0.39610783278124295,0.0,0.013855890675584293,0.0037410904824077594,0.0
0.32,0.0029505012701229122,-0.14999344220229693,0.6999783829276762,0.0,300.0,17.146428199482244,100.0,0.3888768794042645,0.0,-0.02257760381959828,-0.006095953031291536,0.0
0.33000000000000007,0.00294900132052797,-0.14999495949421482,0.730338888457247,0.0,300.0,17.146428199482244,100.0,0.4057438269206928,0.0,-0.04214699771921848,-0.011379689384188992,0.0
0.34,0.002947501374674584,-0.14999458533864135,0.7044130475181267,0.0,300.0,17.146428199482244,100.0,0.3913405819545148,0.0,0.010393210374062885,0.002806166800996979,0.0
0.35000000000000003,0.002946001450924738,-0.14999237498459272,0.7178962194182514,0.0,300.0,17.146428199482244,100.0,0.3988312330101397,0.0,0.061398723573010364,0.0165776553647128,0.0
0.36000000000000004,0.002944501527839875,-0.14999230848625644,0.6966873899842134,0.0,300.0,17.146428199482244,100.0,0.3870485499912297,0.0,0.0018471760076915218,0.0004987375220767109,0.0
0.37000000000000005,0.002943001583990061,-0.1499943849813979,0.7462738767927783,0.0,300.0,17.146428199482244,100.0,0.41459659821821016,0.0,-0.05768042059551427,-0.015573713560788854,0.0
0.38,0.0029415016296337236,-0.14999543563371065,0.7540756214933702,0.0,300.0,17.146428199482244,100.0,0.41893090082965,0.0,-0.029184786465416467,-0.007879892345662446,0.0
0.39000000000000007,0.0029400016797390587,-0.1499949894664954,0.7904854173181717,0.0,300.0,17.146428199482244,100.0,0.439158565176762,0.0,0.012393533757418158,0.0033462541145029027,0.0
0.4,0.002938501754991575,-0.14999247474839558,0.7971858433012964,0.0,300.0,17.146428199482244,100.0,0.4428810240562757,0.0,0.069853280549999,0.01886038574849973,0.0
0.41000000000000003,0.0029370018321416467,-0.14999228499284625,0.8139991153971271,0.0,300.0,17.146428199482244,100.0,0.4522217307761817,0.0,0.00527098748172402,0.0014231666200654853,0.0
0.42000000000000004,0.002935501901134991,-0.14999310066557878,0.8078763967722169,0.0,300.0,17.146428199482244,100.0,0.4488202204290094,0.0,-0.022657575903281553,-0.00611754549388602,0.0
0.43000000000000005,0.0029340019547554556,-0.14999463795352747,0.7907758059209569,0.0,300.0,17.146428199482244,100.0,0.43931989217830936,0.0,-0.042702443018984154,-0.011529659615125722,0.0
0.44,0.0029325020097607656,-0.14999449946900295,0.7922787366741171,0.0,300.0,17.146428199482244,100.0,0.4401548537078428,0.0,0.0038467923478104904,0.0010386339339088324,0.0
0.45000000000000007,0.0029310020916423645,-0.14999181184010313,0.7916346439340538,0.0,300.0,17.146428199482244,100.0,0.43979702440780766,0.0,0.07465635832802803,0.020157216748567568,0.0
0.46,0.0029295021811978294,-0.1499910444535339,0.7679199781910744,0.0,300.0,17.146428199482244,100.0,0.42662221010615237,0.0,0.02131629358954926,0.005755399269178301,0.0
0.47000000000000003,0.0029280022561755112,-0.14999250223181332,0.7971303806983701,0.0,300.0,17.146428199482244,100.0,0.4428502114990944,0.0,-0.04049384109542665,-0.010933337095765196,0.0
0.4800000000000001,0.0029265023156514274,-0.14999405240836933,0.8253568656255206,0.0,300.0,17.146428199482244,100.0,0.4585315920141781,0.0,-0.04306045988885697,-0.011626324169991382,0.0
0.4900000000000001,0.0029250023781236456,-0.1499937527781632,0.7983494978885504,0.0,300.0,17.146428199482244,100.0,0.4435274988269724,0.0,0.008323061280883547,0.0022472265458385577,0.0
0.5,0.0029235024699975493,-0.14999081260963576,0.8081908215374805,0.0,300.0,17.146428199482244,100.0,0.4489949008541557,0.0,0.08167134798444844,0.022051263955801082,0.0
0.51,0.00292200256167211,-0.14999083254393236,0.7831614442664301,0.0,300.0,17.146428199482244,100.0,0.4350896912591278,0.0,-0.0005537304614552999,-0.00014950722459293098,0.0
0.52,0.0029205026389458413,-0.1499922726268358,0.8311383572058815,0.0,300.0,17.146428199482244,100.0,0.4617435317810452,0.0,-0.04000230287302422,-0.01080062177571654,0.0
0.5300000000000001,0.00291900269874192,-0.14999402039212853,0.8218556445971728,0.0,300.0,17.146428199482244,100.0,0.4565864692206515,0.0,-0.04854903590976436,-0.013108239695636377,0.0
0.54,0.0029175027676122942,-0.14999311296261103,0.811281102568779,0.0,300.0,17.146428199482244,100.0,0.4507117236493216,0.0,0.02520637548616763,0.0068057213812652605,0.0
0.55,0.002916002862518757,-0.14999050935371958,0.809618725892854,0.0,300.0,17.146428199482244,100.0,0.4497881810515855,0.3686410849638767,0.07232246920733076,0.019527066685979307,0.0
0.56,0.0029145029622276728,-0.14999002910843362,0.8150759505604284,0.0,300.0,17.146428199482244,100.0,0.45281997253357126,0.3686410849638767,0.013340146831723434,0.0036018396445653272,0.0
0.5700000000000001,0.0029130030443454188,-0.14999178822541814,0.8026671403269272,0.0,300.0,17.146428199482244,100.0,0.44592618907051507,0.3686410849638767,-0.048864360681291776,-0.01319337738394878,0.0
0.58,0.0029115031142069453,-0.14999301384734173,0.8589601080896534,0.0,300.0,17.146428199482244,100.0,0.4772000600498074,0.3686410849638767,-0.03404505343317338,-0.009192164426956813,0.0
0.5900000000000001,0.0029100031934654914,-0.14999207414538315,0.8154936724253328,0.0,300.0,17.146428199482244,100.0,0.4530520402362959,0.3686410849638767,0.02610283218315969,0.007047764689453118,0.0
