iter,time_ns,pose_x,pose_y,pose_z,err_x,err_y,err_z,Fx,Fy,Fz,tau0,tau1,tau2,iq0,iq1,iq2,Ks_x,env_K,iq_pred,iq_nopred
29,159505000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-10.735016,0.001877,51.322632,0.005508,-5.180420,-12.996063,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
30,160555000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-10.400696,0.001862,51.169891,0.005508,-4.960831,-12.783463,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
31,161605000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-10.166626,0.001846,51.062927,0.005508,-4.807083,-12.634583,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
32,162655000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-10.002747,0.001831,50.988159,0.005508,-4.699341,-12.530273,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
33,163705000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.888000,0.001816,50.935822,0.005508,-4.624008,-12.457367,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
34,164755000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.807739,0.001816,50.899200,0.005508,-4.571289,-12.406326,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
35,165805000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.751587,0.001801,50.873566,0.005508,-4.534332,-12.370544,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
36,166855000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.712219,0.001785,50.855560,0.005493,-4.508514,-12.345551,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
37,167905000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.684601,0.001785,50.842896,0.005493,-4.490433,-12.328033,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
38,168955000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.665375,0.001755,50.834045,0.005493,-4.477783,-12.315781,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
39,170005000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-9.651947,0.001755,50.827942,0.005493,-4.468964,-12.307236,2000,2000,2000,100.000000,50.000000,2000.000000,2000.000000
