iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
231,0.313049,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.195389,0.002213,-0.077438,0.000687,0.028137,0.043671
236,0.313095,-0.000046,-0.080261,0.315994,-0.000031,-0.080994,0.151901,0.002213,-0.090637,0.000687,0.014008,0.032181
241,0.313126,-0.000046,-0.080261,0.315994,-0.000031,-0.080994,0.190735,0.002213,-0.075760,0.000687,0.027405,0.042618
246,0.313171,-0.000046,-0.080246,0.315994,-0.000031,-0.080994,0.127335,0.002213,-0.091705,0.000687,0.007675,0.026047
251,0.313248,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.128403,0.002213,-0.102844,0.000687,0.005051,0.025650
256,0.313293,-0.000046,-0.080215,0.315994,-0.000031,-0.080994,0.088577,0.002213,-0.152206,0.000687,-0.017517,0.012955
261,0.313309,-0.000046,-0.080215,0.315994,-0.000031,-0.080994,0.214310,0.002213,-0.089951,0.000702,0.029526,0.047577
266,0.313370,-0.000046,-0.080200,0.315994,-0.000031,-0.080994,0.097885,0.002213,-0.151215,0.000687,-0.014969,0.015289
271,0.313400,-0.000046,-0.080200,0.315994,-0.000031,-0.080994,0.133514,0.002213,-0.091019,0.000687,0.009354,0.027588
276,0.313446,-0.000046,-0.080185,0.315994,-0.000031,-0.080994,0.076523,0.002213,-0.152740,0.000687,-0.020645,0.009918
281,0.313492,-0.000046,-0.080185,0.315994,-0.000031,-0.080994,0.098267,0.002213,-0.092545,0.000687,0.000259,0.018799
286,0.313522,-0.000046,-0.080170,0.315994,-0.000031,-0.080994,0.170746,0.002213,-0.118561,0.000687,0.011383,0.035141
291,0.313568,-0.000046,-0.080170,0.315994,-0.000031,-0.080994,0.132751,0.002213,-0.088120,0.000687,0.009888,0.027557
296,0.313614,-0.000046,-0.080154,0.315994,-0.000031,-0.080994,0.045090,0.002213,-0.154648,0.000687,-0.028900,0.002045
301,0.313644,-0.000046,-0.080154,0.315994,-0.000031,-0.080994,0.129471,0.002213,-0.095596,0.000687,0.007141,0.026291
306,0.313675,-0.000046,-0.080139,0.315994,-0.000031,-0.080994,0.163269,0.002213,-0.121613,0.000687,0.008728,0.033096
