iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
231,0.315369,-0.000046,-0.080200,0.315994,-0.000031,-0.080994,0.165405,0.009003,-0.252991,0.002838,-0.025146,0.025421
236,0.315338,-0.000061,-0.080231,0.315994,-0.000031,-0.080994,0.526733,0.157623,-0.176392,0.049728,0.083786,0.118988
241,0.315414,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,-0.067596,-0.015717,-0.396576,-0.004974,-0.119919,-0.040604
246,0.315384,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.276794,-0.066986,-0.188751,-0.021118,0.019012,0.056702
251,0.315369,-0.000061,-0.080292,0.315994,-0.000031,-0.080994,0.522461,0.101776,-0.223236,0.032120,0.070557,0.115082
256,0.315430,-0.000061,-0.080307,0.315994,-0.000031,-0.080994,0.098724,0.030365,-0.252228,0.009583,-0.041382,0.009033
261,0.315445,-0.000061,-0.080292,0.315994,-0.000031,-0.080994,0.146027,0.018463,-0.383453,0.005829,-0.063904,0.012741
266,0.315491,-0.000046,-0.080338,0.315994,-0.000031,-0.080994,0.129547,-0.024872,-0.231476,-0.007843,-0.028397,0.017868
271,0.315536,-0.000046,-0.080338,0.315994,-0.000031,-0.080994,-0.107117,0.002594,-0.290527,0.000809,-0.102081,-0.043961
276,0.315521,-0.000046,-0.080353,0.315994,-0.000031,-0.080994,0.214539,0.007629,-0.351105,0.002411,-0.038620,0.031525
281,0.315536,-0.000046,-0.080368,0.315994,-0.000031,-0.080994,0.148315,0.007629,-0.248260,0.002411,-0.028137,0.021454
286,0.315567,-0.000046,-0.080414,0.315994,-0.000031,-0.080994,-0.250092,-0.083923,-0.040894,-0.026505,-0.072296,-0.064026
291,0.315567,-0.000046,-0.080399,0.315994,-0.000031,-0.080994,0.136261,-0.007019,-0.353851,-0.002213,-0.058624,0.012085
296,0.315613,-0.000046,-0.080399,0.315994,-0.000031,-0.080994,-0.064697,0.005798,-0.306244,0.001816,-0.095764,-0.034485
301,0.315598,-0.000046,-0.080444,0.315994,-0.000031,-0.080994,0.061035,-0.056458,-0.108948,-0.017822,-0.013351,0.008408
306,0.315628,-0.000061,-0.080444,0.315994,-0.000031,-0.080994,0.092010,0.074310,-0.210571,0.023453,-0.032211,0.009857
