iter,time_ns,pose_x,pose_y,pose_z,err_x,err_y,err_z,Fx,Fy,Fz,tau0,tau1,tau2,iq0,iq1,iq2,Ks_x,env_K,iq_pred,iq_nopred
29,74705000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-1.073502,0.000198,5.132263,0.000549,-0.518051,-1.299606,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
30,75755000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-1.040070,0.000198,5.116989,0.000549,-0.496094,-1.278351,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
31,76805000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-1.016663,0.000198,5.106293,0.000549,-0.480713,-1.263458,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
32,77855000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-1.000275,0.000198,5.098816,0.000549,-0.469940,-1.253036,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
33,78905000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-0.988800,0.000198,5.093582,0.000549,-0.462402,-1.245743,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
34,79955000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-0.980774,0.000198,5.089920,0.000549,-0.457138,-1.240646,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
35,81005000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-0.975159,0.000198,5.087357,0.000549,-0.453445,-1.237061,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
36,82055000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-0.971222,0.000198,5.085556,0.000549,-0.450851,-1.234558,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
37,83105000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-0.968460,0.000198,5.084290,0.000549,-0.449051,-1.232803,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
38,84155000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-0.966537,0.000198,5.083405,0.000549,-0.447784,-1.231583,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
39,85205000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-0.965195,0.000198,5.082794,0.000549,-0.446899,-1.230728,-2000,2000,2000,10.000000,50.000000,-2000.000000,-2000.000000
